,Text,score,analysis
0,clean fruity peach flavor doesnt go flat like lemonade takes bit dissolve completely patient worth im big ice tea fan general great substitute diet colas economical green dont need drive store constantly pay crv plastic bottles doesnt require storagehandling like 2 liter bottles either sleeves like go variant instead tubs would perfect,0.24469696969696972,Neutral
1,got sample new keurig elite plan buying many even 6 year old likes drinking like tea cant go wrong,0.05909090909090908,Neutral
2,hopeful would good cup received bitter cup bad aftertaste throw sips reminds burnt beans starbucks roasts strong coffee flavor reached burning beans badly taste bitterness thanks emeril,-0.027777777777777735,Neutral
3,ive planted 30 seeds far id estimate near 100 germination rate else could ask,0.1,Neutral
4,love ideal brown sugar substitute sugar alcohols natural unlike sorbitol maltitol based substitutes doesnt affect stomach use oatmeal baking cut carbs aftertaste complaint clumpy like real brown sugar sometimes affect baked goods far problems,0.25,Neutral
5,taste great nutrition good recommend also like flavors cliff bars,0.75,Positive
6,far havent worms rice though ive opened couple boxes besides boxed rice thick plastic bag protecting worms wanted rating little seem cheapest wild rice amazon even though boxes tiny,-0.057500000000000016,Neutral
7,good little pricey bought one found much cheaper one swanson vitamins site would recommend check places better price,0.303125,Neutral
8,discovered tea pf changs like hot use make ice tea love taste like peaches apricots overwhelming highly recommend even though spendy,0.3525,Neutral
9,looked forward tea dont know disappointed flavor made better tea adding drop anise candy flavoring green tea,-0.15,Neutral
10,great baking creamer carmel squares melt unwrap use make pecan carmel bars great,0.8,Positive
11,unique getting scoby even packaging dont care reason cant show picture product thatbr im paying money isnt packaging came senses since scoby much like fooled maybe please gobr blow 45 dollars glass jar told free claim scoby thanks,0.29375,Neutral
12,wondering tastes like tastes 100 like jolly rancher sour apple candy drink version better worse flavor good artificial somewhat refreshing think 6 ounces juice glass right amount think drank whole lot would get sick itbr br package contains 5 packets make 2 quarts 212 gallons lot 4 packs 10 gallons two dollars per gallon rather inexpensivebr br utterly simple make top packet easily tears long skinny easily pour 12 gallon jar bottle etc dissolves fairly rapidly also plastic shrinkwrap easily removesfalls reuse oval container whatever want,0.1732142857142857,Neutral
13,bought realizing regular clif barsi known much cheap original ones pleasantly surprised come packs two like regular granola bar compared softchewy consistency original clif bars loved though white chocolate macadamia nut yummy would definitely buy great value messy definitely recommended breakfast car ha,0.2125,Neutral
14,hummus meal favorite everything good sent pack 6 daughter likes quick lunch work cant get back dorm time dinner like anytime highly recommended,0.3386666666666666,Neutral
15,ended comparing value item little late paid size wrong cost ridiculous comparison otherbr places selling correct items live learn suppose,-0.2368939393939394,Neutral
